review,sentiment
Could have been better.,neutral
"A masterpiece, truly inspiring.",positive
"A masterpiece, truly inspiring.",positive
Mediocre storyline.,neutral
Mediocre storyline.,neutral
Could have been better.,neutral
The plot made no sense at all.,negative
I regret watching this.,negative
"A masterpiece, truly inspiring.",positive
What an emotional journey!,positive
"Nothing special, but not bad either.",neutral
Mediocre storyline.,neutral
Terrible movie. Don’t waste your time.,negative
Fantastic direction and acting.,positive
Absolutely awful experience.,negative
Brilliant storytelling and visuals.,positive
The film was a total mess.,negative
The film was a total mess.,negative
Mildly entertaining.,neutral
Mediocre storyline.,neutral
What an emotional journey!,positive
One of the best movies I’ve ever seen.,positive
Mildly entertaining.,neutral
"A masterpiece, truly inspiring.",positive
A truly touching story.,positive
"Not great, not terrible.",neutral
It was an okay movie.,neutral
A passable film.,neutral
Could have been better.,neutral
I couldn’t finish it.,negative
The film was a total mess.,negative
I regret watching this.,negative
Absolutely awful experience.,negative
It was an okay movie.,neutral
It exceeded all my expectations.,positive
What an emotional journey!,positive
"Not great, not terrible.",neutral
Nothing interesting happened.,negative
It exceeded all my expectations.,positive
Completely boring and predictable.,negative
A disappointing movie.,negative
"Nothing special, but not bad either.",neutral
Brilliant storytelling and visuals.,positive
One of the best movies I’ve ever seen.,positive
Mildly entertaining.,neutral
Fantastic direction and acting.,positive
I absolutely loved this movie!,positive
Terrible movie. Don’t waste your time.,negative
Nothing interesting happened.,negative
I absolutely loved this movie!,positive
What an emotional journey!,positive
Fantastic direction and acting.,positive
"Not great, not terrible.",neutral
Highly recommend this film.,positive
Could have been better.,neutral
Highly recommend this film.,positive
Standard experience.,neutral
I couldn’t finish it.,negative
What an emotional journey!,positive
The plot made no sense at all.,negative
One of the best movies I’ve ever seen.,positive
Completely boring and predictable.,negative
The plot made no sense at all.,negative
Brilliant storytelling and visuals.,positive
Worst acting I’ve ever seen.,negative
Brilliant storytelling and visuals.,positive
"Nothing special, but not bad either.",neutral
"Nothing special, but not bad either.",neutral
Absolutely awful experience.,negative
A disappointing movie.,negative
"Nothing special, but not bad either.",neutral
Worst acting I’ve ever seen.,negative
I absolutely loved this movie!,positive
Mildly entertaining.,neutral
I absolutely loved this movie!,positive
I couldn’t finish it.,negative
"Nothing special, but not bad either.",neutral
"Not great, not terrible.",neutral
Average acting and direction.,neutral
Could have been better.,neutral
Nothing interesting happened.,negative
A cinematic triumph.,positive
Highly recommend this film.,positive
Average acting and direction.,neutral
"Nothing special, but not bad either.",neutral
I couldn’t finish it.,negative
"Nothing special, but not bad either.",neutral
Worst acting I’ve ever seen.,negative
Mildly entertaining.,neutral
"Some good moments, some bad.",neutral
Mildly entertaining.,neutral
Mediocre storyline.,neutral
Terrible movie. Don’t waste your time.,negative
"Not great, not terrible.",neutral
The plot made no sense at all.,negative
What an emotional journey!,positive
Could have been better.,neutral
Brilliant storytelling and visuals.,positive
"Some good moments, some bad.",neutral
Standard experience.,neutral
I couldn’t finish it.,negative
It exceeded all my expectations.,positive
Average acting and direction.,neutral
"Some good moments, some bad.",neutral
"Nothing special, but not bad either.",neutral
"Nothing special, but not bad either.",neutral
A passable film.,neutral
The film was a total mess.,negative
Standard experience.,neutral
"Nothing special, but not bad either.",neutral
Terrible movie. Don’t waste your time.,negative
"A masterpiece, truly inspiring.",positive
Mildly entertaining.,neutral
I absolutely loved this movie!,positive
Brilliant storytelling and visuals.,positive
Brilliant storytelling and visuals.,positive
Standard experience.,neutral
"Some good moments, some bad.",neutral
Brilliant storytelling and visuals.,positive
A truly touching story.,positive
Could have been better.,neutral
What an emotional journey!,positive
Average acting and direction.,neutral
Nothing interesting happened.,negative
Nothing interesting happened.,negative
A truly touching story.,positive
It exceeded all my expectations.,positive
Terrible movie. Don’t waste your time.,negative
"Some good moments, some bad.",neutral
What an emotional journey!,positive
Average acting and direction.,neutral
Highly recommend this film.,positive
Fantastic direction and acting.,positive
Highly recommend this film.,positive
"A masterpiece, truly inspiring.",positive
"Not great, not terrible.",neutral
Worst acting I’ve ever seen.,negative
Mediocre storyline.,neutral
Could have been better.,neutral
Absolutely awful experience.,negative
Nothing interesting happened.,negative
Standard experience.,neutral
Could have been better.,neutral
What an emotional journey!,positive
Standard experience.,neutral
"Some good moments, some bad.",neutral
"A masterpiece, truly inspiring.",positive
I absolutely loved this movie!,positive
I couldn’t finish it.,negative
What an emotional journey!,positive
The film was a total mess.,negative
Highly recommend this film.,positive
What an emotional journey!,positive
Could have been better.,neutral
What an emotional journey!,positive
"Nothing special, but not bad either.",neutral
A passable film.,neutral
It exceeded all my expectations.,positive
Terrible movie. Don’t waste your time.,negative
One of the best movies I’ve ever seen.,positive
Absolutely awful experience.,negative
Average acting and direction.,neutral
Fantastic direction and acting.,positive
It exceeded all my expectations.,positive
Fantastic direction and acting.,positive
Completely boring and predictable.,negative
Standard experience.,neutral
A passable film.,neutral
It was an okay movie.,neutral
Fantastic direction and acting.,positive
I couldn’t finish it.,negative
"Not great, not terrible.",neutral
I regret watching this.,negative
What an emotional journey!,positive
Worst acting I’ve ever seen.,negative
Mildly entertaining.,neutral
A truly touching story.,positive
A disappointing movie.,negative
Highly recommend this film.,positive
Fantastic direction and acting.,positive
Standard experience.,neutral
It exceeded all my expectations.,positive
Fantastic direction and acting.,positive
Standard experience.,neutral
"Some good moments, some bad.",neutral
Fantastic direction and acting.,positive
Mediocre storyline.,neutral
One of the best movies I’ve ever seen.,positive
Fantastic direction and acting.,positive
I absolutely loved this movie!,positive
"Some good moments, some bad.",neutral
Terrible movie. Don’t waste your time.,negative
"Not great, not terrible.",neutral
"Nothing special, but not bad either.",neutral
Standard experience.,neutral
I absolutely loved this movie!,positive
Average acting and direction.,neutral
The film was a total mess.,negative
Fantastic direction and acting.,positive
I regret watching this.,negative
I absolutely loved this movie!,positive
"A masterpiece, truly inspiring.",positive
"Some good moments, some bad.",neutral
"Some good moments, some bad.",neutral
Terrible movie. Don’t waste your time.,negative
"Not great, not terrible.",neutral
Could have been better.,neutral
The film was a total mess.,negative
One of the best movies I’ve ever seen.,positive
Average acting and direction.,neutral
Worst acting I’ve ever seen.,negative
What an emotional journey!,positive
The plot made no sense at all.,negative
Standard experience.,neutral
I couldn’t finish it.,negative
The plot made no sense at all.,negative
I absolutely loved this movie!,positive
"Nothing special, but not bad either.",neutral
The film was a total mess.,negative
Nothing interesting happened.,negative
Highly recommend this film.,positive
One of the best movies I’ve ever seen.,positive
Standard experience.,neutral
A passable film.,neutral
The plot made no sense at all.,negative
Mediocre storyline.,neutral
Absolutely awful experience.,negative
I regret watching this.,negative
A passable film.,neutral
The plot made no sense at all.,negative
Standard experience.,neutral
A truly touching story.,positive
Nothing interesting happened.,negative
I regret watching this.,negative
Absolutely awful experience.,negative
Absolutely awful experience.,negative
"Not great, not terrible.",neutral
What an emotional journey!,positive
Terrible movie. Don’t waste your time.,negative
What an emotional journey!,positive
Highly recommend this film.,positive
The film was a total mess.,negative
It was an okay movie.,neutral
Standard experience.,neutral
"Not great, not terrible.",neutral
A truly touching story.,positive
A passable film.,neutral
Terrible movie. Don’t waste your time.,negative
A passable film.,neutral
Highly recommend this film.,positive
Completely boring and predictable.,negative
Could have been better.,neutral
What an emotional journey!,positive
A cinematic triumph.,positive
Worst acting I’ve ever seen.,negative
A truly touching story.,positive
Absolutely awful experience.,negative
A disappointing movie.,negative
What an emotional journey!,positive
Worst acting I’ve ever seen.,negative
One of the best movies I’ve ever seen.,positive
Absolutely awful experience.,negative
Mildly entertaining.,neutral
Highly recommend this film.,positive
"Not great, not terrible.",neutral
Completely boring and predictable.,negative
Brilliant storytelling and visuals.,positive
Brilliant storytelling and visuals.,positive
Average acting and direction.,neutral
A cinematic triumph.,positive
"Nothing special, but not bad either.",neutral
One of the best movies I’ve ever seen.,positive
Mildly entertaining.,neutral
What an emotional journey!,positive
The plot made no sense at all.,negative
A disappointing movie.,negative
One of the best movies I’ve ever seen.,positive
A truly touching story.,positive
Mildly entertaining.,neutral
A cinematic triumph.,positive
Highly recommend this film.,positive
I absolutely loved this movie!,positive
Completely boring and predictable.,negative
Average acting and direction.,neutral
It was an okay movie.,neutral
Mediocre storyline.,neutral
The film was a total mess.,negative
A cinematic triumph.,positive
Terrible movie. Don’t waste your time.,negative
Mildly entertaining.,neutral
Completely boring and predictable.,negative
I regret watching this.,negative
Fantastic direction and acting.,positive
Average acting and direction.,neutral
A passable film.,neutral
What an emotional journey!,positive
The plot made no sense at all.,negative
Standard experience.,neutral
Brilliant storytelling and visuals.,positive
Highly recommend this film.,positive
Nothing interesting happened.,negative
Worst acting I’ve ever seen.,negative
I couldn’t finish it.,negative
Mediocre storyline.,neutral
Completely boring and predictable.,negative
It exceeded all my expectations.,positive
Terrible movie. Don’t waste your time.,negative
What an emotional journey!,positive
I couldn’t finish it.,negative
Could have been better.,neutral
It was an okay movie.,neutral
Average acting and direction.,neutral
A truly touching story.,positive
Completely boring and predictable.,negative
I absolutely loved this movie!,positive
Worst acting I’ve ever seen.,negative
Fantastic direction and acting.,positive
A truly touching story.,positive
Standard experience.,neutral
Nothing interesting happened.,negative
The film was a total mess.,negative
The plot made no sense at all.,negative
"Nothing special, but not bad either.",neutral
Highly recommend this film.,positive
Mediocre storyline.,neutral
A truly touching story.,positive
Could have been better.,neutral
Brilliant storytelling and visuals.,positive
Completely boring and predictable.,negative
One of the best movies I’ve ever seen.,positive
